Date,Close
Mar 2020,17.07
Feb 2020,22.35
Jan 2020,28.56
Dec 2019,30.39
Nov 2019,29.76
Oct 2019,29.58
Sep 2019,27.99
Aug 2019,27.57
Jul 2019,28.98
Jun 2019,28.68
May 2019,27.3
Apr 2019,25.5
Mar 2019,24.12
Feb 2019,23.64
Jan 2019,21.99
Dec 2018,20.7
Nov 2018,22.53
Oct 2018,23.13
Sep 2018,24.87
Aug 2018,26.16
Jul 2018,27.93
Jun 2018,27.39
May 2018,27.3
Apr 2018,32.01
Mar 2018,29.1
Feb 2018,30.78
Jan 2018,33.84
Dec 2017,30.84
Nov 2017,27.36
Oct 2017,27.81
Sep 2017,28.38
Aug 2017,30.81
Jul 2017,30.54
Jun 2017,30.33
May 2017,27.69
Apr 2017,25.71
Mar 2017,23.88
