Date,Close
Mar 2020,13.05
Feb 2020,15.53
Jan 2020,16.82
Dec 2019,16.68
Nov 2019,15.92
Oct 2019,16.92
Sep 2019,15.92
Aug 2019,17.15
Jul 2019,15.21
Jun 2019,14.33
May 2019,13.65
Apr 2019,14.02
Mar 2019,14.18
Feb 2019,14.63
Jan 2019,15.05
Dec 2018,14.52
Nov 2018,13.32
Oct 2018,13.41
Sep 2018,13.73
Aug 2018,13.65
Jul 2018,14.61
Jun 2018,15.15
May 2018,15.46
Apr 2018,15.38
Mar 2018,15.41
Feb 2018,15.46
Jan 2018,16.35
Dec 2017,15.99
Nov 2017,15.51
Oct 2017,15.79
Sep 2017,15.74
Aug 2017,16.65
Jul 2017,15.9
Jun 2017,15.71
May 2017,16.39
Apr 2017,16.3
Mar 2017,17.25
