Date,Close
Mar 2018,39.07
Feb 2018,40.91
Jan 2018,41.24
Dec 2017,37.08
Nov 2017,37.2
Oct 2017,35.51
Sep 2017,34.29
Aug 2017,34.14
Jul 2017,29.62
Jun 2017,28.95
May 2017,28.35
Apr 2017,25.17
Mar 2017,23.96
Feb 2017,23.12
Jan 2017,22.09
Dec 2016,20.05
Nov 2016,20.11
Oct 2016,19.92
Sep 2016,22.18
Aug 2016,20.61
Jul 2016,20.59
Jun 2016,19.29
May 2016,19.49
Apr 2016,18.88
Mar 2016,19.13
Feb 2016,17.1
Jan 2016,16.74
Dec 2015,20.46
Nov 2015,21.2
Oct 2015,19.9
Sep 2015,18.79
Aug 2015,20.1
Jul 2015,21.5
Jun 2015,21.35
May 2015,21.6
Apr 2015,20.96
Mar 2015,20.83
