Date,Close
Mar 2018,17.74
Feb 2018,22.87
Jan 2018,23.62
Dec 2017,20.76
Nov 2017,20.59
Oct 2017,22.1
Sep 2017,22.74
Aug 2017,23.73
Jul 2017,21.56
Jun 2017,24.11
May 2017,22.73
Apr 2017,20.94
Mar 2017,18.55
Feb 2017,16.67
Jan 2017,16.8
Dec 2016,14.25
Nov 2016,12.63
Oct 2016,13.18
Sep 2016,13.6
Aug 2016,14.13
Jul 2016,15.65
Jun 2016,14.15
May 2016,14.88
Apr 2016,16.05
Mar 2016,15.32
Feb 2016,12.8
Jan 2016,12.75
Dec 2015,16.0
Nov 2015,15.35
Oct 2015,13.8
Sep 2015,16.56
Aug 2015,16.6
Jul 2015,17.74
Jun 2015,17.88
May 2015,16.72
Apr 2015,15.07
Mar 2015,12.58
